"choose_role", "選擇{characterName}的交際獎勵："
"game_guide_title_dreamlight", "夢幻星光"
"game_guide_title_energy", "精力"
"game_guide_title_fishing", "釣魚"
"game_guide_title_friendship", "友誼"
"game_guide_title_gameplay", "遊戲玩法"
"game_guide_title_gardening", "園藝"
"game_guide_title_house", "小屋"
"game_guide_title_map", "地圖"
"game_guide_title_mining", "採礦"
"game_guide_title_quest", "任務"
"game_guide_title_selling", "出售"
"game_guide_title_tools", "工具"
"game_guide_title_touchOfMagic", "魔法之觸"
"gardening_grown_in", "生長在"
"gardening_no_more_seeds", "種子不足"
"gardening_not_enough_currency", "貨幣不足"
"gift_confirm_body", "要送出以下物品嗎？"
"gift_extra", "+額外"
"gift_favorites_label", "今日最愛"
"gift_limit_reached", "無法贈送更多物品。"
"level_max", "已達最高等級！"
"action_break_rock", "破開岩石"
"action_dig", "挖掘"
"action_fish", "釣魚"
"action_photo", "照片"
"action_water", "澆水"
"avatar_code", "角色代碼"
"avatar_code_desc", "This is the code for transfering your avatar customization Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.  Cillum dolore eu fugiat nulla pariatur."
"avatar_code_expire", "2天後過期"
"avatar_designer_demo", "角色設計工具"
"backpack_amount_title", "物品欄：{amount,D}/{total,D}"
"backpack_empty", "你的物品欄是空的！"
"backpack_title", "物品欄"
"btn_go", "行動"
"btn_track", "選擇"
"catalog_desc", "村莊和小屋物品"
"catalog_title", "家具目錄"
"coming_soon", "即將到來"
"conflict_profile_local_description", "本地存檔"
"conflict_profile_message", "{PlayerName}

用時：{SpentTime}
等級{PlayerLevel}
經驗值：{XP}
星幣：{StarCoins}
月亮石：{Moonstones}"
"conflict_profile_message_spent_time", "{Days} 天 {Hours} 小時 {Minutes} 分鐘"
"conflict_profile_message_unnamed", "（未命名）"
"conflict_profile_server_description", "雲端存檔"
"emotes_title", "表情"
"fishing_pull", "拉"
"hide_avatar_code_button", "隱藏角色代碼"
"hud_btn_achievements", "成就"
"hud_btn_catalog", "家具"
"hud_btn_characters", "角色"
"hud_btn_collection", "收藏"
"hud_btn_collection_reminder", "收藏"
"hud_btn_continue_game", "繼續"
"hud_btn_credits", "製作人名單"
"hud_btn_customer_care", "聯繫客服"
"hud_btn_downloadable_content", "DLC"
"hud_btn_duty", "夢幻星光任務"
"hud_btn_hide_user_id", "隱藏使用者ID"
"hud_btn_inventory", "物品欄"
"hud_btn_link_account", "雲端存檔"
"hud_btn_map", "地圖"
"hud_btn_menus", ""
"hud_btn_new_game", "新遊戲"
"hud_btn_phone", "手機"
"hud_btn_photo", "照片"
"hud_btn_quest_log", "任務"
"hud_btn_roadmap", "路線圖"
"hud_btn_save_to_cloud", "儲存至雲端"
"hud_btn_settings", "設定"
"hud_btn_shop", "商店"
"hud_btn_show_user_id", "顯示使用者ID"
"hud_btn_user_id", "顯示使用者ID"
"hud_btn_wardrobe", "衣櫥"
"hud_collection_reminder_goofy_spices", "在找香料？使用收藏獲取更多資訊吧！"
"hud_collection_reminder_mickey_apples", "在找蘋果？使用收藏獲取更多資訊吧！"
"hud_collection_reminder_moana_wood", "在找木頭？使用收藏獲取更多資訊吧！"
"hud_collection_reminder_remy_ingredients", "在找食材？使用收藏獲取更多資訊吧！"
"hud_collection_reminder_scrooge_wood", "在找木頭？使用收藏獲取更多資訊吧！"
"hud_hold_action", "(長按)"
"hud_language_code_de", "Deutsch"
"hud_language_code_en-US", "English"
"hud_language_code_es", "Español"
"hud_language_code_fr", "Français"
"hud_language_code_it", "Italiano"
"hud_language_code_ja", "日本語"
"hud_language_code_zh-CN", "正體中文"
"hud_lbl_master_volume", "主音量"
"hud_lbl_music_volume", "音樂音量"
"hud_lbl_qrcode_description", "掃瞄QR Code或在瀏覽器中輸入連結。"
"hud_lbl_qrcode_title_cookie", "Cookies政策"
"hud_lbl_qrcode_title_customer", "聯繫客服"
"hud_lbl_qrcode_title_discord", "Discord"
"hud_lbl_qrcode_title_eula", "終端使用者許可協議"
"hud_lbl_qrcode_title_privacy", "Gameloft隱私權政策"
"hud_lbl_qrcode_title_term_use", "使用條款"
"hud_lbl_sfx_volume", "音效音量"
"hud_lbl_streaming_music", "流媒體友好模式"
"hud_lbl_streaming_music_note", "替代遊戲中受版權保護的音樂"
"hud_lbl_voice_volume", "語音音量"
"hud_status_save_to_cloud_desync_days", "{days}天{hours}小時未同步。"
"hud_status_save_to_cloud_desync_hours", "{hours}小時{minutes}分{seconds}秒未同步。"
"hud_status_save_to_cloud_desync_minutes", "{minutes}分{seconds}秒未同步。"
"hud_status_save_to_cloud_never_uploaded", "始終不上傳"
"hud_status_save_to_cloud_sync", "完全同步！"
"not_enough_mana", "你的精力已耗盡！"
"not_enough_mana_refill_explanation", "吃點東西或返回小屋來恢復精力。"
"notification_item_try", "試試吧"
"patterns_title", "模式"
"pets_title", "同伴"
"quest_tracker_new", "請求被接受"
"quest_tracker_progress", "進度"
"requires_mana", "你的精力不足……"
"settings_controls", "操作"
"settings_game_guide", "遊戲指引"
"settings_general", "通用"
"settings_graphics", "畫面"
"settings_help", "幫助"
"settings_sounds", "聲音"
"show_avatar_code_button", "顯示角色代碼"
"wardrobe_desc", "服裝和角色自定義"
"wardrobe_title", "衣櫥"
"inbox_generic_message", "你剛收到了一條新訊息！"
"inbox_generic_subtitle", "新訊息"
"inbox_generic_title", "新訊息"
"inbox_items_sent_generic", "物品已發送至你的信箱！"
"inbox_items_sent_inventory_full", "你的物品欄已滿。你可以在信箱裡獲得物品。"
"inventory_categories", "類別"
"inventory_item_lock_message", "該物品還不可用。"
"inventory_requests", "請求"
"inventory_required_for", "需要："
"container_WallERealm_Refrigerator", "這臺冰箱的門把手不見了。 它一定就在這附近的某個地方……"
"inventory_action_drop", "丟棄"
"inventory_action_eat", "吃下"
"inventory_action_open", "打開"
"inventory_action_split", "拆分"
"inventory_action_transfer", "移動"
"inventory_action_use", "使用"
"inventory_category_owned", "已擁有"
"inventory_category_store", "儲存"
"inventory_category_suggested", "建議"
"inventory_expand_btn", "擴充套件"
"inventory_expand_home_storage", "升級小屋以增大倉庫"
"inventory_full_choose_item_to_drop", "物品欄已滿。選擇一件物品來丟棄。"
"inventory_item_info_eat", "食用："
"inventory_item_info_gift", "禮物："
"inventory_item_info_sell", "出售："
"inventory_lock_item_missing", "你需要{itemName}才能進入倉庫。"
"inventory_no_room_to_drop", "你不能在這裡丟棄任何物品。"
"inventory_no_room_to_drop_more", "你不能再在這裡丟棄物品。"
"levelup_max_energy_increased", "精力上限已提升"
"levelup_new_level", "新等級！"
"levelup_rewards", "獎勵："
"levelup_unlocked_new_roles", "新專精解鎖！"
"select_role_below", "從下列專精中選擇一項"
"cloud_save_access_main_menu", "您需要重置遊戲，從主中選擇該選項"
"cloud_save_benefit", "使用雲端存檔，您將可以：
  - 在其他平臺上開啟跨平臺進度
  - 確保您的{packName}物品與您的帳號同步
  - 保護您的進度，避免以後出現線上衝突"
"cloud_save_benefit_confirmation", "{packName}獎勵只能在一個帳號上領取。建議您建立或連線到雲端存檔，以避免將來可能出現的獎勵和/或進度丟失的情況。"
"cloud_save_claim", "仍然領取"
"cloud_save_confirmation", "確定不連線到雲端並繼續嗎？"
"cloud_save_do_not_claim", "暫不領取"
"cloud_save_redirect", "連線（從主）"
"cloud_save_suggest", "領取物品之前，我們建議您將帳號同步至雲端。"
"cloud_save_title", "雲端存檔"
"cloud_save_warning_title", "警告！"
"common_claim", "領取"
"mailbox_expired", "已過期"
"mailbox_expires_in_days", "{days}天後過期"
"mailbox_expires_in_hours", "{hours}小時後過期"
"mailbox_offline", "您已離線，無法接收新訊息。"
"mailbox_reward", "獎勵"
"EyeShadowColor", "眼影顏色"
"EyeShadowOpacity", "眼影透明度"
"BeardsCategoryDisplayName", "鬍鬚"
"BirthMarksCategoryDisplayName", "胎記"
"BlushCategoryDisplayName", "腮紅"
"BrowsCategoryDisplayName", "眉毛"
"ContourCategoryDisplayName", "外形"
"EyeLineCategoryDisplayName", "眼線"
"EyeShadowCategoryDisplayName", "眼影"
"FaceLinesCategoryDisplayName", "臉部線條"
"FacePaintCategoryDisplayName", "臉部彩繪"
"FrecklesCategoryDisplayName", "雀斑"
"LipstickCategoryDisplayName", "口紅"
"MustachesCategoryDisplayName", "絡腮鬍"
"PupilsCategoryDisplayName", "瞳孔"
"ScarsCategoryDisplayName", "疤痕"
"StubbleCategoryDisplayName", "鬍子"
"map_AreaName_beach", "炫麗<br>海灘"
"map_AreaName_cliff", "霜寒<br>高地"
"map_AreaName_darkMountains", "遺忘<br>之地"
"map_AreaName_forest", "勇氣<br>森林"
"map_AreaName_meadow", "寧靜<br>草地"
"map_AreaName_savannah", "日照<br>高原"
"map_AreaName_urban", "廣場"
"map_AreaName_wetlands", "信仰<br>林地"
"map_btn_beach", "炫麗海灘"
"map_btn_dark_mountain", "遺忘之地"
"map_btn_forest", "勇氣森林"
"map_btn_gates", "門"
"map_btn_meadow", "寧靜草地"
"map_btn_plants", "植物"
"map_btn_plaza", "廣場"
"map_btn_realms", "王國"
"map_btn_savanna", "日照高原"
"map_btn_snow", "霜寒高地"
"map_btn_wetlands", "信仰林地"
"map_fast_travel", "快速移動"
"map_fast_travel_Realms", "王國"
"map_fast_travel_villages", "村莊"
"map_filters", "篩選條件"
"map_toggle_filters", "切換篩選條件"
"menu_nav_dreamlight", "夢幻星光 "
"phone_feed_timer", "{time}前"
"save_picture_premission_denied", "你沒有在此裝置上儲存檔案的許可權！"
"save_picture_premission_granted", "你的照片已儲存到此裝置上！"
"save_picture_subtitle", "是否將這張照片儲存到裝置上？"
"save_picture_title", "是否儲存照片？"
"share_event_picture_subtitle", "是否將你的照片分享到社交網路上並參與正在進行的活動？"
"share_event_picture_title", "要參加活動嗎？"
"share_picture_event_expired", "無法參加活動，活動已結束！"
"share_picture_event_limitation", "你參加活動的次數已達上限！"
"share_picture_failed", "分享照片失敗。"
"share_picture_limitation", "分享照片失敗，你已達到分享照片的次數上限！"
"share_picture_subtitle", "是否將你的照片分享到社交網路上？"
"share_picture_title", "是否分享照片？"
"btn_continue", "繼續"
"btn_go_phone", "前往手機"
"btn_validate", "驗證"
"bundle_exclusive_perk", "專屬福利"
"catalog_exit_desc", "確定退出並且不儲存？"
"catalog_undo_all_desc", "確定撤銷並且不儲存？"
"character_sleeping_message", "{characterName}正在睡覺。稍後再來看看吧！"
"character_sleeping_title", "勿擾！"
"characters_sleeping_message", "{characterNames}正在睡覺。稍後再來看看吧！"
"confirm_cancel_request_message", "確定嗎？"
"confirm_cancel_request_title", "放棄任務。"
"confirm_complete_quest", "是否立刻完成請求？"
"confirm_eat_meal_message", "想吃{mealName}嗎？{buff}"
"confirm_grid_object_clearing_message", "注意！如果放置在此處會毀壞一些物品。是否依然放置在此處？"
"confirm_new_game_message", "確定嗎？"
"confirm_new_game_title", "新遊戲"
"confirm_purchase_message", "確定要購買{itemName}嗎？"
"confirm_refresh_request_slot_message", "確定嗎？ "
"confirm_refresh_request_slot_title", "重新整理請求欄"
"confirm_skip_request_step_message", "確定嗎？"
"confirm_skip_request_step_title", "跳過請求步驟"
"continue_button", "繼續"
"disclaimer_cookies", "Cookies政策"
"disclaimer_eula", "終端使用者許可協議"
"disclaimer_privacy", "Gameloft隱私權政策"
"disclaimer_ps_siea", "Purchase and use of items are subject to the Network Terms of Service and User Agreement. This online service has been sublicensed to you by Sony Interactive Entertainment America."
"disclaimer_ps_siee", "Any content purchased in an in-game store will be purchased from Sony Interactive Entertainment Network Europe Limited ("SIENE") and be subject to PlayStation™Network Terms of Service and User Agreement which is available on the PlayStation™Store. Please check usage rights for each purchase as these may differ from item to item. Unless otherwise shown, content available in any in-game store has the same age rating as the game."
"disclaimer_terms_of_use", "使用條款"
"disclaimer_text", "如要玩本遊戲，您或您的家長或監護人必須閱讀並接受以下條款："
"disclaimer_title", "歡迎來到Disney Dreamlight Valley"
"donate", "捐贈"
"donate_buy_all", "全部購買"
"donate_required_furniture", "需要的家具"
"error_backpack_full_message", "你的物品欄已滿！
可以儲存、丟在地上或是在高飛貨攤上出售。"
"error_crafting_recipe_already_known", "你已經學會了此製作配方。"
"error_critical_message", "如果問題依然存在，請聯繫客服。"
"error_critical_subtitle", "出現錯誤，應用程式需要重啟。"
"error_critical_title", "重大錯誤"
"error_edit_mode_invalid_floor_type", "你不能將此物品放置到此場景。"
"error_insane_profile_message", "我們正在恢復您的檔案，請稍候。"
"error_insane_profile_subtitle", "出現錯誤，您的部分存檔可能會丟失。"
"error_insane_profile_title", "存檔錯誤"
"error_login_message", "請檢查您的網路連線並重試，或繼續在離線模式下游戲。"
"error_login_subtitle", "無法登錄您的玩家帳號。"
"error_max_item_owned_reached", "你不能擁有更多這種物品了。"
"error_memory_shard_already_collected", "你已經擁有該記憶碎片。"
"error_not_enough_cooking_combustible", "你沒有足夠的{cookingCombustible}！"
"error_not_enough_currency_dreamdust_message", "你沒有足夠的夢幻星光來購買物品！"
"error_not_enough_currency_dreamdust_title", "夢幻星光不足"
"error_not_enough_currency_heart_message", "你沒有足夠的愛心來完成此購買。完成設計挑戰可贏取更多愛心！"
"error_not_enough_currency_heart_title", "沒有足夠的愛心"
"error_not_enough_currency_starcoin_noshop_message", "你沒有足夠的星幣來進行這次購買。"
"error_not_enough_currency_starcoin_title", "星幣不足"
"error_not_enough_currency_title", "你缺少一些完成此購買需要的貨幣。"
"error_not_enough_mana", "精力不夠"
"error_online_connection_lost_message", "網路連線丟失。現在已切換至離線模式。"
"error_profile_recovery_message", "請檢查您的網路連線並重試。如果問題依然存在，請聯繫客服。"
"error_profile_recovery_subtitle", "我們無法恢復您的存檔。"
"error_profile_recovery_title", "存檔恢復錯誤"
"error_remote_transaction_message", "檢視您的網路連線並重試。"
"error_remote_transaction_subtitle", "請求的交易無法完成。"
"error_remote_transaction_title", "交易錯誤"
"error_server_connection_message", "檢視您的網路連線並重試，或切換到離線模式。"
"error_server_connection_subtitle", "無法連線到伺服器。"
"error_server_connection_title", "連線錯誤"
"error_server_unexpected_message", "重試或切換到離線模式。如果問題仍未解決，請聯繫客服。"
"error_server_unexpected_subtitle", "出錯了，但暫時問題不大。"
"error_server_unexpected_title", "意外錯誤"
"error_social_request_message", "檢視您的網路連線並重試。"
"error_social_request_subtitle", "拉爾夫無法完成您的任務。"
"error_social_request_title", "Ralphtagram錯誤"
"error_storage_full_message", "此倉庫已滿！試試在高飛的貨攤交易部分物品。"
"error_version_mismatched_message", "你的存檔已更新至該遊戲暫不支援的更高版本。請更新遊戲再重試。"
"error_version_mismatched_title", "無效存檔版本"
"go_offline_button", "以離線模式繼續"
"input_your_name", "在此處輸入您的名字。"
"logout_save_to_cloud_error_desc", "您的關聯進度無法上傳至雲端。確定要退出登錄嗎？"
"logout_save_to_cloud_error_title", "儲存至雲端出錯"
"logout_without_save_button", "仍然退出"
"mission_subtype_cooking", "烹飪"
"mission_subtype_designchallenge", "設計挑戰"
"mission_subtype_fishing", "釣魚"
"mission_subtype_gardening", "園藝"
"no_item_available_message", "無可用物品"
"player_name_error_length", "長度須超過2個字。"
"player_name_question", "您叫什麼名字？"
"profile_desync_detected", "遊戲初始化錯誤"
"profile_desync_option_contact", "客戶服務"
"profile_desync_option_quit", "退出"
"profile_recovery_success", "您的檔案已恢復。應用程式需要重啟。"
"profile_user_credentials_init_failed", "目前平臺伺服器無法檢索到使用者ID。請稍後再試。"
"profile_user_credentials_init_failed_epic", "無法連線到您的Epic Games帳號。請重試。也許需要您重啟遊戲。"
"profile_user_credentials_init_failed_microsoft", "抱歉！您必須連線到您的Microsoft帳號才能玩遊戲。請嘗試重新登錄。"
"profile_user_credentials_init_failed_steam", "檢索您的Steam賬戶失敗。請檢查您的網路連線，並確保從Steam啟動遊戲。"
"profile_user_credentials_init_failed_windows", "抱歉！您必須通過Steam或Epic Games啟動遊戲。請重試。出現這種情況可能是部分遊戲檔案被刪除。"
"profile_user_credentials_init_title", "獲得使用者ID"
"purchase_all_button", "全部購買"
"purchase_popup_message", "您要購買物品嗎？花費……"
"quit_button", "退出"
"quit_game_no_save_desc", "您確定要退出嗎？"
"quit_game_save_desc", "您確定要退出嗎？遊戲進度將會儲存。"
"quit_game_title", "退出"
"quit_save_to_cloud_error_desc", "您的遊戲進度已儲存在本地，但無法上傳至雲端。您確定要退出嗎？"
"quit_save_to_cloud_error_title", "儲存至雲端出錯"
"quit_save_to_cloud_offline_error", "您正在離線玩遊戲。您的遊戲進度已儲存在本地，但無法上傳至雲端。您確定要退出嗎？"
"quit_without_save_button", "退出"
"retry_button", "重試"
"return_to_main_menu_desc", "您確定要返回標題界面嗎？遊戲進度將會儲存。"
"return_to_main_menu_title", "返回標題界面"
"share_message_no_internet", "請確保您的網路通暢。"
"share_subtitle", "掃瞄QR Code，分享照片給您的好友"
"share_title_photo_mode", "分享給您的好友！"
"signin_button", "登錄"
"unlock_activity_title", "解鎖活動"
"unlock_building_character_requirement", "{characterName}必須在您的村莊裡才可解鎖：{buildingName}！"
"unlock_building_character_requirement_activity", "{characterName}必須在您的村莊裡才可解鎖{buildingName}建築和{activityName}活動！"
"unlock_building_level_requirement", "達到{level}級以解鎖：{buildingName}。"
"unlock_building_message", "要修復{buildingName}嗎？"
"unlock_building_message_activity", "解鎖{buildingName}建築以在您的村莊裡開啟{activityName}活動？"
"unlock_building_title", "解鎖建築"
"unlock_character_not_enough_space", "您的村莊裡沒有足夠的空間。清理一些岩石和荊棘再重試吧。"
"unlock_character_title", "歡迎，{characterName}"
"wish_select_adventure", "冒險"
"wish_select_desc", "此願望將幫助建立您的村莊！"
"wish_select_friendship", "友誼"
"wish_select_magic", "魔法"
"xbox_request_user_signin_description", "無帳號繼續遊戲將無法存檔和使用成就功能。"
"xbox_request_user_signin_title", "警告"
"character_unlock", "解鎖角色"
"hidden_condition", "？？？"
"hidden_criteria", "隱藏條件"
"levelup_friendships", "升級友誼"
"new_mission_available", "新任務解鎖"
"next_mission_available_desc_female", "{character}有新的任務了，快去和她聊聊吧。"
"next_mission_available_desc_male", "{character}有新的任務了。快去和他聊聊吧。"
"next_mission_not_available", "下個任務還未解鎖"
"next_mission_not_available_desc", "需完成以下任務才可解鎖{character}的下一個友誼任務。"
"progress_further", "取得進度需要："
"quest_started", "任務開始"
"unlock_village_area", "解鎖區域"
"quest_track", "追蹤"
"quest_track_shortcut", "追蹤任務"
"quest_untrack", "取消追蹤"
"character_friendship_condition", "{character}等級{level}"
"player_level_condition", "升到{level}級"
"questlog_event_quests", "活動任務"
"questlog_friendship_quests", "友誼任務"
"questlog_realm_quests", "王國任務"
"questlog_rewards", "獎勵："
"questlog_show_completed_requests", "限時已完成任務"
"questlog_story_quests", "劇情任務"
"common_button_deselect", "取消選擇"
"request_unlock_slot_at_level", "到{level}級解鎖"
"vlg_mick_050_secretbook1", "童話書<br>這是一本經典的童話故事書，講述了陷入困境的王子和拯救他的少女。"
"vlg_mick_050_secretbook2", "舊書<br>看來這本書已經被讀過很多遍了。有人在第一頁畫了一座塔。"
"vlg_mick_050_secretbook3", "米妮的波點圖案概略<br>誰能想到竟有如此多種變化？"
"vlg_mick_050_secretbook4", "史高治的會計記錄<br>這本書包含了史高治在大遺忘之前的會計記錄。看來他賣了很多東西，大賺了一筆。"
"searching_error_no_activity_item_try_later", "暫時沒有你所需型別的物品。請稍後再試。"
"setting_customer_care_label", "聯繫客服："
"setting_customer_care_link", "https://gameloft.helpshift.com/hc/en/66-disney-dreamlight-valley/"
"setting_discord_label", "Discord："
"setting_discord_link", "https://discord.com/"
"settings_about", "關於"
"settings_controls_controller_sensitivity", "搖桿鏡頭靈敏度"
"settings_controls_controller_vibration", "搖桿震動"
"settings_controls_invert_camera", "反轉鏡頭"
"settings_controls_keyboard_layout", "佈局"
"settings_controls_keyboard_layout_default", "標準鍵盤"
"settings_controls_keyboard_layout_keyboard_azerty", "鍵位佈局"
"settings_controls_keyboard_layout_keyboard_qwerty", "標準鍵盤"
"settings_controls_mouse_sensitivity", "滑鼠鏡頭靈敏度"
"settings_general_about", "關於"
"settings_general_language", "語言"
"settings_general_language_restart", "你需要重啟遊戲來更改語言"
"settings_graphics_display", "顯示"
"settings_graphics_display_mode", "顯示模式"
"settings_graphics_display_mode_fullscreen", "全螢幕"
"settings_graphics_display_mode_fullscreen_no_borders", "全螢幕（無邊框）"
"settings_graphics_display_mode_windowed", "視窗"
"settings_graphics_display_number", "顯示{num,D}"
"settings_graphics_distance_quality", "遠景質量"
"settings_graphics_graphics_preset", "預設畫質"
"settings_graphics_quality_android_high", "Android高畫質"
"settings_graphics_quality_android_low", "Android低畫質"
"settings_graphics_quality_android_medium", "Android中畫質"
"settings_graphics_quality_default", "預設"
"settings_graphics_quality_ios_high", "iOS高畫質"
"settings_graphics_quality_ios_low", "iOS低畫質"
"settings_graphics_quality_ios_medium", "iOS中畫質"
"settings_graphics_quality_pc_high", "PC高畫質"
"settings_graphics_quality_pc_low", "PC低畫質"
"settings_graphics_quality_pc_medium", "PC中畫質"
"settings_graphics_quality_pc_ultra", "PC超級畫質"
"settings_graphics_quality_pc_ultra_high", "PC超高畫質"
"settings_graphics_quality_pc_ultra_low", "PC超低畫質"
"settings_graphics_quality_pc_very_high", "PC極高畫質"
"settings_graphics_quality_pc_very_low", "PC極低畫質"
"settings_graphics_quality_ps4", "PS4"
"settings_graphics_quality_ps4_pro", "PS4Pro"
"settings_graphics_quality_ps5", "PS5"
"settings_graphics_quality_switch", "Nintendo Switch"
"settings_graphics_quality_switchdocked", "Nintendo Switch電視模式"
"settings_graphics_quality_unknown", "未知"
"settings_graphics_quality_xboxone", "Xbox One"
"settings_graphics_quality_xboxones", "Xbox One S"
"settings_graphics_quality_xboxonex", "Xbox One X"
"settings_graphics_quality_xboxseriess", "Xbox Series S"
"settings_graphics_quality_xboxseriesx", "Xbox Series X"
"settings_graphics_refresh_rate", "重新整理率"
"settings_graphics_refresh_rate_default", "預設"
"settings_graphics_resolution", "解析度"
"settings_graphics_resolution_scale", "解析度比例"
"settings_graphics_shadow_resolution", "陰影解析度"
"settings_graphics_texture_quality", "紋理質量"
"settings_graphics_texture_quality_default", "預設"
"settings_graphics_texture_quality_low", "低"
"settings_graphics_texture_quality_very_low", "極低"
"settings_graphics_vsync", "VSync"
"settings_need_restart", "請重啟遊戲以使改動生效"
"settings_promo_code_label", "兌換碼"
"settings_quit_game", "退出遊戲"
"settings_reset_game", "重置遊戲"
"settings_restart_game", "返回標題界面"
"settings_save_game", "儲存遊戲"
"settings_save_game_last_saved_at", "最後一次儲存：{minutes}分{seconds}秒之前"
"settings_save_game_last_saved_now", "最後一次儲存：現在"
"settings_toggle_item_off", "關"
"settings_toggle_item_on", "開"
"phone_liked_by", "{number}名玩家點贊"
"phoneprompt_show_your_mood_desc", "用圖片表達你的心情！"
"social_character_label", "邀請{character}去山谷"
"social_event_generic_name", "社交活動"
"social_profile_info_followers", "被關注：{followers}"
"social_profile_info_following", "已關注：{following}"
"social_profile_info_posts", "發帖：{posts}"
"splash_autosave", "本遊戲支援自動存檔。儲存資料時螢幕右下角會顯示一個圖示。圖示顯示時請不要退出遊戲或關閉電源。"
"splash_developed_by", "Gameloft開發"
"buy_moonstone", "購買月亮石"
"buy_moonstone_switch", "你可以在Nintendo eShop獲取更多月亮石！"
"starpass_title", "星路"
"starpath_activate", "啟用星路"
"starpath_ad_desc", "完成各種任務來贏取專屬家具、服裝和更多驚喜內容！"
"starpath_ad_title", "星路現已開啟"
"starpath_bundle_offer", "首次購買{0}{1}享受優惠"
"starpath_buy_moonstone_desc", "月亮石不足。你想購買更多月亮石嗎？"
"starpath_buy_moonstone_title", "補充月亮石"
"starpath_collected", "已收集"
"starpath_companion_name", "{petName}夥伴"
"starpath_confirm_unlock", "確認啟用"
"starpath_confirm_unlock_plus", "確認並獲得{0}{1}"
"starpath_description", "說明"
"starpath_duties", "任務"
"starpath_duties_completed", "恭喜，{PlayerName}。
您已完成全部活動任務。"
"starpath_empty_event", "暫無活動。稍後再來吧！"
"starpath_event_ended_desc", "你有{0}使用{1}來領取獎勵。"
"starpath_event_ended_label", "已完成"
"starpath_event_ended_title", "{0}已完成"
"starpath_friendship_progression", "友誼進度"
"starpath_get_tokens", "購買代幣"
"starpath_go_to", "前往星路"
"starpath_goofy_bonus", "高飛的貨攤<br>加成"
"starpath_locked_label", "解鎖璀璨星路獎勵"
"starpath_offline_desc", "是否連網檢視此內容？"
"starpath_offline_title", "您已離線"
"starpath_page", "頁數"
"starpath_premium", "璀璨星路"
"starpath_premium_locked", "啟用璀璨星路可立即完成更多工"
"starpath_premium_popup_desc", "啟用璀璨星路，更快地收集許願幣並解鎖更多專屬獎勵。你還會獲得更多標誌性新外觀和特殊家具來裝飾村莊，像星星般閃耀吧！"
"starpath_premium_popup_title", "璀璨星路"
"starpath_reward_locked", "至少獲得第{2}頁中{1}項獎勵中的{0}項以解鎖此部分。"
"starpath_rewards", "獎勵"
"starpath_task_available_in", "距解鎖剩餘：
"
"starpath_unlock_now", "立即解鎖！"
"starpath_unlock_premium", "解鎖璀璨星路"
"starpath_unlocked_label", "璀璨星路獎勵已解鎖"
"desc_you_must_login", "爲了儲存您在各平臺上的進度，您必須建立一個帳號，並確認您已年滿16週歲。如果您未滿16週歲，您的父母或監護人必須提供電子郵件地址。"
"desc_you_must_login_ps", "爲了儲存您的進度，您必須建立一個帳號，並確認您已年滿16週歲。如果您未滿16週歲，您的父母或監護人必須提供電子郵件地址。"
"label_reset_password", "重置密碼"
"label_roadmap_title", "發展計劃"
"label_press_any_button", "按任意鍵開始"
"label_press_any_key", "按任意鍵開始"
"startftue_avatar_preset", "角色預設"
"startftue_you_can_edit", "你可以在下一步編輯此角色。"
"set_name_abusive_language", "此名稱包含攻擊性語言。"
"set_name_invalid_profile", "你的檔案崩潰，遊戲無法正常啟動。"
"set_name_on_cooldown", "更改顯示名稱有冷卻時間限制。"
"set_name_online_error", "該名稱線上儲存失敗。"
"set_name_something_happened", "出現了意想不到的問題。請稍後再試。"
"scrooge_store_buyable", "可購買"
"scrooge_store_cant_order_desc", "你在嘗試訂購過多衣服。"
"scrooge_store_cant_order_title", "無法訂購"
"scrooge_store_limit_reached_desc", "你今天無法再訂購更多物品了。請明天再來！"
"scrooge_store_limit_reached_title", "已達每日訂單上限"
"scrooge_store_order", "訂單"
"scrooge_store_owned", "已擁有"
"scrooge_store_quest", "任務物品"
"store_clothing", "衣服"
"store_filters", "篩選條件"
"store_furniture", "家具"
"store_purchase_confirm", "購買確認"
"storefront_big_moonstone_pack", "大包月亮石"
"storefront_enormous_moonstone_pack", "超大包月亮石"
"storefront_moonstones_usage_desc", "利用月亮石的魔力啟用星路，獲得時尚服裝、獨特家具等等。"
"storefront_regular_moonstone_pack", "中包月亮石"
"storefront_small_moonstone_pack", "小包月亮石"
"storefront_tiny_moonstone_pack", "超小包月亮石"
"visit_aquatic_text", "去看看你的小屋吧！"
"select_tool", "選擇工具"
"subtitle_touch_of_magic1_1", "點選新增建立新的自定義設計。"
"subtitle_touch_of_magic1_2", "你可以稍後修改或刪除你的設計。"
"subtitle_touch_of_magic2_1", "隨時更改你所選物品的顏色。"
"subtitle_touch_of_magic2_2", "一件物品最多可新增50個裝飾圖案。拖動圖層來改變順序。"
"subtitle_touch_of_magic3_1", "移動、旋轉物品上的裝飾圖案並調整大小。"
"subtitle_touch_of_magic3_2", "使用頂部欄條中的圖層效果修改裝飾圖案。"
"title_touch_of_magic1", "魔法之觸——設計物品欄"
"title_touch_of_magic2", "魔法之觸——裝飾"
"title_touch_of_magic3", "魔法之觸——放置裝飾圖案"
"tutorial_button_lets_go", "開始！"
"tutorial_enterrestaurant_desc_step1", "選擇食材"
