"Alexandrite_Description", "可開採的變色礦石。"
"MediteraneenSalad_DisplayName", "地中海沙拉"
"MemoryShard!DiaryMemory_Description", "從老谷主的遺失日記中撕下的一頁。"
"MemoryShard!DiaryMemory_DisplayName", "老谷主的一頁遺失日記"
"MemoryShard!VLG_Elsa_030_040_Description", "{Placeholder}There's a puzzle in Elsa's Cavern."
"MemoryShard!VLG_Elsa_030_040_DisplayName", "{Placeholder}Elsa's Puzzle Memory"
"MemoryShard!VLG_Maui_030_Description", "這裡面一定藏著一段毛伊在大遺忘時遺失的記憶。"
"MemoryShard!VLG_Maui_030_DisplayName", "沉沒的記憶"
"MemoryShard!VLG_Mick_050_CastleSecretRoomMemory_Description", "米奇過去的記憶。"
"MemoryShard!VLG_Mick_050_CastleSecretRoomMemory_DisplayName", "米奇的記憶"
"MemoryShard!VLG_Remy_020_Description", "一張指向小米的書的便條。"
"MemoryShard!VLG_Wall_030_Description", "一段破碎的記憶。你能從中發現什麼？"
"MemoryShard!VLG_Wall_030_DisplayName", "損壞的記憶"
"MemoryShard!VLG_Wall_050_Description", "瓦力過去的記憶"
"MemoryShard!VLG_Wall_050_DisplayName", "瓦力的記憶"
"MemoryShard!VLG_Wall_060_Description", "這段記憶被已經修好的F02937 M3 N07恢復了。你會看到什麼呢？"
"MemoryShard!VLG_Wall_060_DisplayName", "F02937 M3 N07恢復的記憶"
"MemoryShard!VLG_Wall_070_Description", "已經修好的F02937 M3 N07恢復的另一段記憶。只有一個辦法知道里面的內容……"
"MemoryShard!VLG_Wall_070_DisplayName", "F02937 M3 N07恢復的另一段記憶"
"MemoryShard_blue_Description", "曾經失去記憶的碎片……"
"MemoryShard_blue_DisplayName", "記憶碎片"
"MemoryShard_DreamlightValley_Description", "曾經失去記憶的碎片……"
"MemoryShard_DreamlightValley_DisplayName", "記憶碎片"
"MemoryShard_green_Description", "曾經失去記憶的碎片……"
"MemoryShard_green_DisplayName", "記憶碎片"
"MemoryShard_purple_Description", "曾經失去記憶的碎片……"
"MemoryShard_purple_DisplayName", "記憶碎片"
"MemoryShard_red_Description", "曾經失去記憶的碎片……"
"MemoryShard_red_DisplayName", "記憶碎片"
"MemoryShard_yellow_Description", "曾經失去記憶的碎片……"
"MemoryShard_yellow_DisplayName", "記憶碎片"
"MeringuePie_Description", "甜上加甜上加甜。"
"MeringuePie_DisplayName", "蛋白派"
"MintCandy_Description", "甜甜的硬糖，入口非常清涼。"
"MintCandy_DisplayName", "薄荷糖"
"MintChocolate_Description", "口感清涼的美味巧克力。"
"MintChocolate_DisplayName", "薄荷巧克力"
"MintSorbet_Description", "清爽的夏日甜品。"
"MintSorbet_DisplayName", "薄荷雪酪"
"Mission!CoconutOil_Description", "由椰子和葵花籽的提取物混合而成。"
"Mission!Generic!GlitteringObject_1m_DisplayName", "發光物體"
"Mission!Generic!GlitteringObject_2m_DisplayName", "發光物體"
"Mission!Generic!GlitteringObject_Ground_DisplayName", "發光物體"
"Mission!Generic!GlitteringObject_Ground_ShallowWater_DisplayName", "淺水區的發光物體"
"Mission!Generic!GlitteringObject_Water_1m_DisplayName", "發光物體"
"Mission!Generic!GlitteringObject_Water_DisplayName", "發光物體"
"Mission!Generic!NightThorn_Big1_NoReward_DisplayName", "{Placeholder}Big Night Thorn No Reward"
"Mission!Generic!NightThorn_Small1_NoReward_DisplayName", "{Placeholder}Small Night Thorn No Reward"
"Mission!Generic!NightThorn_Small2_NoReward_DisplayName", "{Placeholder}Small Night Thorn No Reward"
"Mission!Generic!NightThorn_Small3_NoReward_DisplayName", "{Placeholder}Night Thorn No Reward"
"Mission!MerlinCarePackage_Description", "一包可助你開啟冒險的物品。"
"Mission!Realm!RLM_FrozenIP_Anna_010_Chest01_Description", "{Placeholder}A chest."
"Mission!Realm!RLM_FrozenIP_Anna_010_Chest01_DisplayName", "{Placeholder}Chest"
"Mission!Realm!RLM_FrozenIP_Anna_010_Chest02_Description", "{Placeholder}A chest."
"Mission!Realm!RLM_FrozenIP_Anna_010_Chest02_DisplayName", "{Placeholder}Chest"
"Mission!Realm!RLM_FrozenIP_Anna_010_RockIngredient_Description", "對於大地巨人來說，嶙峋石是平衡飲食的關鍵。"
"Mission!Realm!RLM_FrozenIP_Anna_010_RockIngredient_DisplayName", "嶙峋石"
"Mission!Realm!RLM_FrozenIP_Anna_010_RockSoup_Description", "別吃。它可能會磕壞你的牙，而且你也沒辦法消化石頭。"
"Mission!Realm!RLM_FrozenIP_Anna_010_RockSoup_DisplayName", "石頭湯"
"Mission!Realm!RLM_Moan_020_MoanaLegendaryFish_Description", "只會在特殊地點出現的一種稀有魚類。"
"Mission!Realm!RLM_Moan_020_MoanaLegendaryFish_DisplayName", "白化鮪魚"
"Mission!Realm!RLM_MoanaIP_Moan_020_MapMemory_DisplayName", "奇怪地圖的記憶"
"Mission!Realm!RLM_MoanaIP_Moan_020_MemoryShard_Description", "奇怪地圖變成了這段回憶。裡面會藏著什麼秘密呢？"
"Mission!Realm!RLM_Wall_010_TrashPile01_DisplayName", "垃圾堆"
"Mission!Realm!RLM_Wall_010_TrashPile02_DisplayName", "垃圾堆"
"Mission!Story!BeachCaveChest_DisplayName", "寶箱"
"Mission!Story!DonaldBag_DisplayName", "唐老鴨包"
"Mission!Story!FriendshipTokenThorn_DisplayName", "被暗夜荊棘纏住的勇氣圖騰"
"Mission!Story!MerlinCarePackage_DisplayName", "梅林的歡迎禮包"
"Mission!Story!MRQS_Merl_010_MerlinMemory_Description", "一段被遺忘的記憶，和梅林的過往有關。"
"Mission!Story!MRQS_Merl_010_MerlinMemory_DisplayName", "梅林遺失的記憶"
"Mission!Story!MRQS_Merl_010_NightThorn2_MemoryPlayerHouse_DisplayName", "暗夜荊棘的記憶"
"Mission!Story!MRQS_Mick_050_ApplePieRecipe_Description", "失傳已久的水果沙拉食譜。使用它可學會該食譜。"
"Mission!Story!MRQS_Mick_050_CrackersRecipes_Description", "簡易薄脆餅乾食譜，米奇超愛。使用它可學會該食譜。"
"Mission!Story!MRQS_Mick_050_CrackersRecipes_DisplayName", "米妮的薄脆餅乾食譜"
"Mission!Story!MRQS_Mick_050_FruitSaladRecipe_DisplayName", "水果沙拉食譜"
"Mission!Story!MRQS_Mick_050_MickeyMemory_Description", "一段被遺忘的記憶，和米奇的過往有關。"
"Mission!Story!MRQS_Mick_050_MickeyMemory_DisplayName", "米奇遺失的記憶"
"Mission!Story!MRQS_Mick_050_NightThorn_DisplayName", "米奇小屋的暗夜荊棘"
"Mission!Story!MRQS080_DarkForestDiary_Description", "唐老鴨在黑暗森林裡找到了這頁日記。"
"Mission!Story!MRQS080_DarkForestDiary_DisplayName", "日記"
"Mission!Story!MRQS100_SavannahWaterBlocker01_DisplayName", "{Placeholder}Savannah Water Blocker"
"Mission!Story!PageOfDiary_DisplayName", "老谷主的遺失日記"
"Mission!Story!UrsulaCaveChest_Description", "隱藏的獎勵！彰顯了你的努力付出。"
"Mission!Story!UrsulaCaveChest_DisplayName", "隱藏獎勵"
"Mission!Village!Elsa!VLG_Elsa_020_UniqueHerring_Description", "這種特殊的鯡魚的鱗片似乎閃爍著金色的光芒。"
"Mission!Village!Elsa!VLG_Elsa_020_UniqueHerring_DisplayName", "發光鯡魚"
"Mission!Village!MixOfOil_DisplayName", "芳香提取物"
"Mission!Village!MoanaHouseNightThorn_DisplayName", "莫阿娜小屋的暗夜荊棘"
"Mission!Village!PuaNightThorn_DisplayName", "困住了小豬胖胖的暗夜荊棘"
"Mission!Village!VLG_Anna_010_StumpUpgrade_Description", "這個新的剷刀保證能清除勇氣森林中那些參差不齊的老樹樁。"
"Mission!Village!VLG_Anna_010_StumpUpgrade_DisplayName", "剷刀"
"Mission!Village!VLG_Anna_030_AnnaHair_Description", "{Placeholder}Lock of hair from Anna."
"Mission!Village!VLG_Anna_030_AnnaHair_DisplayName", "{Placeholder}Anna's hair"
"Mission!Village!VLG_Anna_030_EnchantedRing_Description", "{Placeholder} A memory enchantment that helps bring back memories."
"Mission!Village!VLG_Anna_030_Hair_Description", "生長在大柳樹下的神秘蘑菇。"
"Mission!Village!VLG_Anna_030_MemoryPotion_DisplayName", "記憶魔法"
"Mission!Village!VLG_Anna_030_Mushroom_DisplayName", "紅蘑菇"
"Mission!Village!VLG_Anna_030_PotionBase_Description", "梅林幫你製作的有用的魔藥。"
"Mission!Village!VLG_Anna_030_PotionBase_DisplayName", "魔藥基液"
"Mission!Village!VLG_Anna_040_CakeRecipe_Description", "它可以幫助你為艾莎準備一個完美的蛋糕。"
"Mission!Village!VLG_Anna_040_CakeRecipe_DisplayName", "巧克力生日蛋糕食譜"
"Mission!Village!VLG_Arie_020_EricAndUrsulla_DisplayName", "{Placeholder}Eric fate"
"Mission!Village!VLG_Dona_010_TimeCapsule01_Description", "一個時間膠囊，上面有唐老鴨的筆跡。裡面裝著什麼呢？"
"Mission!Village!VLG_Dona_010_TimeCapsule01_DisplayName", "時間膠囊"
"Mission!Village!VLG_Dona_020_TimeCapsule_Description", "唐老鴨在「大遺忘」發生前藏起來的時間膠囊。"
"Mission!Village!VLG_Dona_020_TimeCapsule01_DisplayName", "時間膠囊"
"Mission!Village!VLG_Dona_020_UnlockedTimeCapsule_Description", "{Placeholder}Unlocked Time Capsule."
"Mission!Village!VLG_Dona_020_UnlockedTimeCapsule_DisplayName", "{Placeholder}Unlocked Time Capsule"
"Mission!Village!VLG_Dona_030_Bassins_Limbo_DisplayName", "{Placeholder}Bassins Limbo"
"Mission!Village!VLG_Dona_030_TimeCapsule01_Description", "唐老鴨在「大遺忘」發生前藏起來的時間膠囊。"
"Mission!Village!VLG_Dona_030_TimeCapsule01_DisplayName", "時間膠囊"
"Mission!Village!VLG_Dona_030_TurbinsDistributor_Limbo_DisplayName", "{Placeholder}Turbines and Distributor"
"Mission!Village!VLG_Dona_030_UnlockedTimeCapsule_Description", "{Placeholder}Unlocked Time Capsule."
"Mission!Village!VLG_Dona_030_UnlockedTimeCapsule_DisplayName", "{Placeholder}Unlocked Time Capsule"
"Mission!Village!VLG_Dona_030_WaterPump_Limbo_DisplayName", "{Placeholder}Water Pump Limbo"
"Mission!Village!VLG_Elsa_010_BeachWater_DisplayName", "一小瓶海水"
"Mission!Village!VLG_Elsa_010_ForestWater_Description", "從這個瓶子上你幾乎可以感受到炫麗海灘上陽光的溫暖。"
"Mission!Village!VLG_Elsa_020_ArrendellePickledHerringRecipe_Description", "製作阿倫戴爾腌鯡魚的詳細步驟。"
"Mission!Village!VLG_Elsa_020_ArrendellePickledHerringRecipe_DisplayName", "阿倫戴爾腌鯡魚食譜"
"Mission!Village!VLG_Elsa_020_FishPieRecipe_Description", "製作魚肉派的詳細步驟。"
"Mission!Village!VLG_Elsa_020_FishPieRecipe_DisplayName", "魚肉派食譜"
"Mission!Village!VLG_Elsa_020_OldPickledHerring_Description", "還好夢幻星谷是個充滿魔力的地方，否則最好是別吃這道菜。"
"Mission!Village!VLG_Elsa_020_OldPickledHerring_DisplayName", "阿倫戴爾深腌鯡魚"
"Mission!Village!VLG_Elsa_020_PickledHerringLootPresent_Description", "你在冰洞附近找到了這個被埋藏的寶箱。裡面會有什麼呢？"
"Mission!Village!VLG_Elsa_020_PickledHerringLootPresent_DisplayName", "艾莎的秘密寶箱"
"Mission!Village!VLG_Elsa_020_ScandinavianFishPie_Description", "魚肉的香氣混合著蒲公英糖漿的甜味。"
"Mission!Village!VLG_Elsa_020_ScandinavianFishPie_DisplayName", "魚肉派"
"Mission!Village!VLG_Elsa_020_SpiceMix_Description", "嘗一口這道菜就能回想起艾莎的家鄉。"
"Mission!Village!VLG_Elsa_020_SpiceMix_DisplayName", "蒲公英糖漿"
"Mission!Village!VLG_Elsa_030_FlowerBundle_DisplayName", "冰凍花束"
"Mission!Village!VLG_Elsa_030_FrostedHeightWater_DisplayName", "一瓶冰凍水"
"Mission!Village!VLG_Elsa_030_IceChunk_Description", "小心凍傷你的手指。"
"Mission!Village!VLG_Elsa_030_IceChunk_DisplayName", "冰塊"
"Mission!Village!VLG_Elsa_030_LotusFlower_Description", "還有什麼比一束花更美的？那就是一束用艾莎魔法凍住的花。"
"Mission!Village!VLG_Elsa_030_SavannahWater_Description", "瓶裡的水不僅清澈，而且還和霜寒高地上的雪一樣涼。"
"Mission!Village!VLG_Elsa_040_GlitteringEmitter_DisplayName", "{Placeholder}Glittering Object with Sound Emitter"
"Mission!Village!VLG_Elsa_040_IceLootBox_Description", "這個由魔法冰霜製成的箱子一直等待著有人來打開它。裡面會有什麼呢？"
"Mission!Village!VLG_Elsa_040_IceLootBox_DisplayName", "冰霜寶箱"
"Mission!Village!VLG_Eric_010_Nautilus_Description", "這個鸚鵡螺貝殼很適合用來做魔法吊墜。"
"Mission!Village!VLG_Eric_010_Nautilus_DisplayName", "鸚鵡螺"
"Mission!Village!VLG_Eric_010_Recipe01_Description", "檢視此食譜，學習製作亞力克王子最喜愛的食物之一。"
"Mission!Village!VLG_Eric_010_Recipe01_DisplayName", "西班牙冷湯食譜"
"Mission!Village!VLG_Eric_010_Recipe02_Description", "檢視此食譜，學習製作亞力克王子最喜愛的食物之一。"
"Mission!Village!VLG_Eric_010_Recipe02_DisplayName", "素食燉食譜"
"Mission!Village!VLG_Eric_010_Recipe03_Description", "檢視此食譜，學習製作亞力克王子最喜愛的食物之一。"
"Mission!Village!VLG_Eric_010_Recipe03_DisplayName", "漿果沙拉食譜"
"Mission!Village!VLG_Eric_020_BaitNautilus_DisplayName", "鸚鵡螺誘餌"
"Mission!Village!VLG_Eric_020_FishOil_DisplayName", "魚腸油"
"Mission!Village!VLG_Eric_020_HookBait_Description", "你覺得很難聞，但對鸚鵡螺來說是美味。"
"Mission!Village!VLG_Goof_040_BouillabaisseRecipe_Description", "法式海鮮湯食譜。使用它可學會該食譜。"
"Mission!Village!VLG_Goof_040_BouillabaisseRecipe_DisplayName", "法式海鮮湯食譜"
"Mission!Village!VLG_Kris_010_Ashes_DisplayName", "碳灰"
"Mission!Village!VLG_Kris_010_Lye_DisplayName", "堿液"
"Mission!Village!VLG_Kristoff_010_Ashes_Description", "從克里斯托夫的營火處取來的一瓶灰燼。"
"Mission!Village!VLG_Kristoff_010_Lye_Description", "非常適合用來清潔物品。"
"Mission!Village!VLG_Maui_010_Coconut_Description", "種下一隻鰻魚，長出了毛伊的椰子。"
"Mission!Village!VLG_Maui_010_Coconut_DisplayName", "毛伊的椰子"
"Mission!Village!VLG_Mick_050_SecretCurtain_DisplayName", "神秘帷幕"
"Mission!Village!VLG_Mick_50_Chest_Description", "米奇找到的魔法寶箱。"
"Mission!Village!VLG_Mick_50_MagicalChest_DisplayName", "魔法寶箱"
"Mission!Village!VLG_Minn_020_FishingRodMemory_DisplayName", "釣魚竿記憶"
"Mission!Village!VLG_Minn_020_PackageMemory_DisplayName", "包裹記憶"
"Mission!Village!VLG_Minn_020_SailorHatMemory_DisplayName", "水手帽記憶"
"Mission!Village!VLG_Moan_030_MemoryShard_Description", "莫安娜遺失的一段記憶。"
"Mission!Village!VLG_Moan_030_MemoryShard_DisplayName", "莫阿娜遺失的記憶"
"Mission!Village!VLG_Moth_010_UnlockedChest_Description", "裡面的太陽捲軸等著重見天日。該打開它了。"
"Mission!Village!VLG_Moth_010_UnlockedChest_DisplayName", "解鎖史高治的寶箱"
"Mission!Village!VLG_Moth_040_ActivatedSunstoneDawn_Description", "剛剛修復的黎明碎片，會讓你想起你見過的最美麗的清晨。"
"Mission!Village!VLG_Moth_040_ActivatedSunstoneDawn_DisplayName", "閃光黎明碎片"
"Mission!Village!VLG_Moth_040_ActivatedSunstoneDusk_Description", "之前你就覺得閃亮，現在黃昏碎片的光輝更是耀眼奪目。"
"Mission!Village!VLG_Moth_040_ActivatedSunstoneDusk_DisplayName", "閃光黃昏碎片"
"Mission!Village!VLG_Moth_040_OceanWater_Description", "這瓶海水中仍然有海鹽。"
"Mission!Village!VLG_Moth_040_OceanWater_DisplayName", "海水"
"Mission!Village!VLG_Moth_040_SunstoneDawnNA_Description", "現在想想，碎片的光確實有點黯淡。"
"Mission!Village!VLG_Moth_040_SunstoneDawnNA_DisplayName", "黯淡黎明碎片"
"Mission!Village!VLG_Remy_020_DisplayName", "食譜書線索列表"
"Mission!Village!VLG_Remy_020_PeanutSandwichRecipe_DisplayName", "花生醬三明治食譜"
"Mission!Village!VLG_Remy_020_PeanutWaffleRecipe_Description", "製作花生醬鬆餅的詳細步驟。"
"Mission!Village!VLG_Remy_020_PeanutWaffleRecipe_DisplayName", "花生醬鬆餅食譜"
"Mission!Village!VLG_Remy_040_IceCreamRecipe_Description", "香草冰淇淋食譜，使用它可學會該食譜。"
"Mission!Village!VLG_Remy_040_IceCreamRecipe_DisplayName", "香草冰淇淋食譜"
"Mission!Village!VLG_Scro_050_ScroogeCoin_DisplayName", "遺失已久的寶藏的記憶"
"Mission!Village!VLG_Scro_060_Map_Description", "藏寶圖的重現記憶。"
"Mission!Village!VLG_Scro_060_Map_DisplayName", "藏寶圖記憶"
"Mission!Village!VLG_Scro_060_MemoryShard_Description", "這枚神秘的硬幣是烏蘇拉送給史高治的，上面有關於夢幻星谷隱藏的寶藏線索。或許你應該仔細看看。"
"Mission!Village!VLG_Scro_060_TreasureMapLootPresent_Description", "可以找到寶藏的地圖。"
"Mission!Village!VLG_Scro_060_TreasureMapLootPresent_DisplayName", "藏寶圖"
"Mission!Village!VLG_Wall_030_WallEBox_DisplayName", "壓縮垃圾"
"Mission!Village!VLG_Wall_030_WallEBoxStrangeMachine_DisplayName", "壓縮垃圾"
"Mission!Village!VLG_Wall_040_DecoyTrash_DisplayName", "{Placeholder}DecoyTrash"
"Mission!Village!VLG-Arie_020_EricAndUrsulla_Description", "{Placeholder}Prince Eric fate."
"Mission!Village!VLR_Remy_020_PeanutSandwichRecipe_Description", "製作花生醬三明治的詳細步驟。"
"MushroomPizza_Description", "一種薄薄的披薩，上面有很多蘑菇。"
"MushroomPizza_DisplayName", "蘑菇披薩"
"Nasturtium!NasturtiumOrange_Description", "在黃色鱗莖上盛開的橙色花朵。"
"Nasturtium!NasturtiumOrange_DisplayName", "橙色旱金蓮"
"Nasturtium!NasturtiumRed_Description", "在黃色鱗莖上盛開的紅色花朵。"
"Nasturtium!NasturtiumRed_DisplayName", "紅色旱金蓮"
"Nasturtium!NasturtiumYellow_Description", "在黃色鱗莖上盛開的橘紅色花朵。"
"Nasturtium!NasturtiumYellow_DisplayName", "黃色旱金蓮"
"NightShard_Description", "它與夢之碎片正好相反，當心點。"
"OkraSoup_Description", "用秋葵、豆子、玉米和番茄煮出來的湯。"
"OkraSoup_DisplayName", "秋葵湯"
"Omlet_Description", "捲起來的鬆軟的煎蛋，上面撒著調味料。"
"Omlet_DisplayName", "煎蛋捲"
"OnionPuffs_Description", "用焦糖洋蔥做的一種簡易泡芙甜點。"
"OnionPuffs_DisplayName", "洋蔥捲"
"Onyx_Description", "可開採的水晶。"
"Onyx_DisplayName", "縞瑪瑙"
"Onyx_Shiny_Description", "可開採的稀有水晶。"
"Onyx_Shiny_DisplayName", "閃亮縞瑪瑙"
"Other!Cotton_Seed_Description", "播下種子就會長出棉花。"
"Other!Cotton_Seed_DisplayName", "棉花種子"
"Oyster_Description", "能在炫麗海灘找到。快去找吧！"
"Oyster_DisplayName", "牡蠣"
"OysterPlatter_Description", "一大盤牡蠣"
"OysterPlatter_DisplayName", "牡蠣拼盤"
"PanFriedAnglerFish_Description", "讓你難以忘懷的特殊美食！"
"PanFriedAnglerFish_DisplayName", "香煎鮟鱇魚"
"PanSearedBassVeggies_DisplayName", "香煎鱸魚佐蔬菜"
"PanSearedTilapiaVeggies_DisplayName", "香煎羅非魚佐蔬菜"
"PassionLily!PassionLilyBlack_Description", "盛放的黑色花朵，似乎很不祥。"
"PassionLily!PassionLilyBlack_DisplayName", "黑色西番蓮"
"PassionLily!PassionLilyBlue_Description", "盛放的藍色花朵，色彩濃郁。"
"PassionLily!PassionLilyBlue_DisplayName", "藍色西番蓮"
"PassionLily!PassionLilyGreen_Description", "盛放的綠色花朵，色彩濃郁。"
"PassionLily!PassionLilyGreen_DisplayName", "綠色西番蓮"
"PassionLily!PassionLilyRed_Description", "色彩濃郁的花朵。"
"PassionLily!PassionLilyRed_DisplayName", "紅色西番蓮"
"PassionLily!PassionLilyWhite_Description", "一種醒目的花朵，紫色和白色混雜。"
"PassionLily!PassionLilyWhite_DisplayName", "白色西番蓮"
"Pasta_Description", "匆忙間做出來的簡單面食。"
"Pasta_DisplayName", "意大利麵"
"PastryCreamAndFruits_Description", "水果和奶油的經典組合！"
"PastryCreamAndFruits_DisplayName", "奶油水果糕點"
"Pawpsicle_Description", "一種小小冰凍甜品，形狀像狐貍的爪子。"
"Pawpsicle_DisplayName", "爪子冰棒"
"PeanutButterSandwich_Description", "簡單又不過時的經典食物。"
"PeanutButterSandwich_DisplayName", "花生醬三明治"
"PeanutButterWaffles_Description", "鬆軟的鬆餅塗上厚厚的花生醬。"
"PeanutButterWaffles_DisplayName", "花生醬鬆餅"
"Pebbles_Description", "你需要很多鵝卵石才能堆積成山……"
"Perch_Description", "只會在特殊地點出現的一種稀有魚類。"
"Perch_DisplayName", "鱸魚"
"Peridot_Description", "可開採的淺綠色礦石。"
"Peridot_DisplayName", "橄欖石"
"Peridot_Shiny_Description", "可開採的淺綠色稀有礦石。"
"Peridot_Shiny_DisplayName", "閃亮橄欖石"
"PickledHerring_Description", "風味獨特的腌酸魚。"
"PickledHerring_DisplayName", "鯡魚捲"
"Pike_Description", "生長於河流和湖泊中的茶青色魚類。"
"Pike_DisplayName", "梭魚"
"Pizza_Description", "誰不喜歡披薩？"
"Pizza_DisplayName", "披薩"
"PizzaMargherita_Description", "用番茄沙司和馬札瑞拉起司做成的經典美食！"
"PizzaMargherita_DisplayName", "瑪格麗特披薩"
"PlainSlush_Description", "想一想，如果增加一點味道，你能創造出什麼。"
"PlainSnowCones_DisplayName", "原味雪糕筒"
"PoachedBasilButterSturgeon_DisplayName", "羅勒奶油蒸鱘魚"
"PoachedFishs_Description", "加些檸檬，這條魚的味道會更鮮美。"
"Porridge_Description", "一道簡單而豐盛的早餐。"
"Porridge_DisplayName", "燕麥粥"
"PorridgeFruits_Description", "一碗熱乎乎的燕麥粥，加了蘋果和漿果。"
"PorridgeFruits_DisplayName", "水果燕麥粥"
"PotatoLeekSoup_Description", "豐盛的湯一定能給你帶來活力！"
"PotatoLeekSoup_DisplayName", "馬鈴薯韭菜湯"
"PotatoPuffs_Description", "塞了馬鈴薯的小酥皮點心。"
"PotatoPuffs_DisplayName", "馬鈴薯捲"
"Pottage_Description", "味道醇厚的燉湯，加了很多種蔬菜。"
"Pottage_DisplayName", "濃湯"
"Product!Butter_Description", "可以抹在吐司上，拌入海鮮或是加在蛋糕裡。小米餐廳有售。"
"Product!Butter_DisplayName", "奶油"
"Product!Cheese_Description", "無論是烤制，灑在通心麵上，還是配在披薩上的辣香腸裡，都非常美味。沒有什麼比起司更能提升菜餚的風味了。小米餐廳有售。"
"Product!Cheese_DisplayName", "起司"
"Product!Egg_Description", "炒，煎還是單面煎？總有一款適合你。小米餐廳有售。"
"Product!Egg_DisplayName", "蛋"
"Product!Milk_Description", "配上一大盤巧克力餅乾是最好不過了。小米餐廳有售。"
"Product!Milk_DisplayName", "牛奶"
"Product!Peanut_Description", "無論是鹹味還是其他風味，花生總能讓每道菜餚的口味更上一層樓。小米餐廳有售。"
"Product!Peanut_DisplayName", "花生"
"Product!SlushIce_Description", "大熱天最完美的甜點。小米餐廳有售。"
"Product!SlushIce_DisplayName", "冰沙"
"PumpkinPuffs_Description", "塞了南瓜的小酥皮點心。"
"PumpkinPuffs_DisplayName", "南瓜捲"
"PumpkinSoup_Description", "橙色的奶油濃湯。"
"PumpkinSoup_DisplayName", "南瓜湯"
"Puree_Description", "一種絲滑的奶牛果蔬醬。"
"Puree_DisplayName", "果蓉"
"RainbowTrout_Description", "這種魚的名字源於其獨特的鱗片。"
"RainbowTrout_DisplayName", "虹鱒"
"RanchSalad_DisplayName", "田園沙拉"
"Ratatouille_Description", "由五顏六色的蔬菜烹製而成。"
"Ratatouille_DisplayName", "法式雜菜燴"
"Realm!Frozen!RLM_FrozenIP_Anna_010_FireElement_Description", "現在你可以讓火靈冷靜下來了，它不會再點燃魔法森林裡的東西了。起碼暫時安全了。"
"Realm!Frozen!RLM_FrozenIP_Anna_010_FireElement_DisplayName", "火靈布魯尼"
"Realm!Frozen!RLM_FrozenIP_Anna_020_WeddingRing_Description", "安娜把這隻戒指落在了魔法森林的池塘裡。原來自然之靈不喜歡奇怪的金屬出現在它們的池塘……"
"Realm!Frozen!RLM_FrozenIP_Anna_020_WeddingRing_DisplayName", "安娜的訂婚戒指"
"Realm!Frozen!RLM_FrozenIP_Elsa_010_Ribbon_Description", "艾爾莎給了你這根線繩，幫助你把風鈴綁在一起。  "
"Realm!Frozen!RLM_FrozenIP_Elsa_010_Ribbon_DisplayName", "線繩"
"Realm!Frozen!RLM_FrozenIP_Elsa_010_WindChimes_Description", "這些風鈴不僅漂亮，而且當有風吹過時，它們還會碰撞出動人的旋律。"
"Realm!Frozen!RLM_FrozenIP_Elsa_010_WindChimes_DisplayName", "風鈴"
"Realm!Moana!RLM_MoanaIP_Moan_010_SilkPiece_Description", "由光滑的絲綢纖維編成。"
"Realm!Moana!RLM_MoanaIP_Moan_010_SilkPiece_DisplayName", "絲線團"
"Realm!Moana!RLM_MoanaIP_Moan_010_Torch_Description", "可以在迷霧中幫你指路的火把。"
"Realm!Moana!RLM_MoanaIP_Moan_010_Torch_DisplayName", "火把"
"Realm!Moana!RLM_MoanaIP_Moan_010_WoodPiece_Description", "用良木切割出來的結實木板。"
"Realm!Moana!RLM_MoanaIP_Moan_010_WoodPiece_DisplayName", "木材"
"Realm!Ratatouille!RLM_RatatouilleIP_Remy_010_RecipeBook03_Description", "食材:<br>- 小麥<br>- 番茄<br>- 起司"
"Realm!Ratatouille!RLM_RatatouilleIP_Remy_010_RecipeBook03_DisplayName", "食譜: 普通披薩"
"Realm!Ratatouille!RLM_RatatouilleIP_Remy_010_RecipeBook04_Description", "食材:<br>- 兩種蔬菜<br>- 起司"
"Realm!Ratatouille!RLM_RatatouilleIP_Remy_010_RecipeBook04_DisplayName", "食譜：普通素砂鍋菜"
"Realm!Wall-e!RLM_WallEIP_Wall_010_FridgeDoorHandle_Description", "生鏽冰箱的門把手。"
"Realm!Wall-e!RLM_WallEIP_Wall_010_FridgeDoorHandle_DisplayName", "冰箱門把手"
"Realm!Wall-e!RLM_WallEIP_Wall_010_Scrap_Description", "在瓦力的小世界找到的垃圾。"
"Realm!Wall-e!RLM_WallEIP_Wall_010_Trash_DisplayName", "無用垃圾"
"Realm!Wall-e!RLM_WallEIP_Wall_010_TrashBox_Description", "和著名的瓦力的垃圾塊非常像。"
"Realm!Wall-e!RLM_WallEIP_Wall_010_TrashBox_DisplayName", "垃圾塊"
"Realm!Wall-e!RLM_WallEIP_Wall_010_WallEThread_Description", "非常適合用來幫助機器人移動！"
"Realm!Wall-e!RLM_WallEIP_Wall_010_WallEThread_DisplayName", "履帶"
"Realm!Wall-e!RLM_WallEIP_Wall_020_FireExtinguisher_Description", "可以用來滅火，也可以用來登向太空！"
"Realm!Wall-e!RLM_WallEIP_Wall_020_FireExtinguisher_DisplayName", "滅火器"
"Realm!Wall-e!RLM_WallEIP_Wall_020_PixarBall_Description", "彈力十足的彩色球。"
"Realm!Wall-e!RLM_WallEIP_Wall_020_PixarBall_DisplayName", "球"
"Realm!Wall-e!RLM_WallEIP_Wall_020_SproutBoot_Description", "這隻靴子裡有一株小小的植物！"
"Realm!Wall-e!RLM_WallEIP_Wall_020_SproutBoot_DisplayName", "發芽靴子"
